userWallet,credit_score,total_transactions,total_usd_volume,activity_duration_days,risk_category
0x04ee10fd378f7cad5ac5751d7cd0f42b13ee3b76,974,481,6.30252278243086e+23,134.5,Excellent
0x049940feda4277b7f01ef10fca0b975c541d8fca,972,345,1.4270726643911984e+25,110.4,Excellent
0x037bf6a1e7b137f824f46313317e033ffeceb613,971,172,2.7040074494672055e+23,111.4,Excellent
0x02aee0ce756fa0157294ff3ff48c1dd02adccf04,964,116,5.4821446707774095e+23,141.4,Excellent
0x05404b6f8990a4108150366adb572a870b137edc,958,473,4.14807903681365e+22,135.2,Excellent
0x0228c4032162fc5485f00f2638822c15f32ca561,953,38,1.038292471070561e+23,122.3,Excellent
0x047ea31614fc085ce7b80412fbab65fd51a8bb7a,952,298,3.55834016002508e+23,119.6,Excellent
0x05aeaabd4b221dc741b0213dedc1c2fe3613e2c0,952,237,8.088028492557099e+22,119.8,Excellent
0x0194d076503771b976a062c4cde310b13d3e9960,952,42,6.33448579861506e+23,98.0,Excellent
0x03188444e0ec5e63d99350baedd479ebcab82f63,951,430,3.1524233478691843e+22,97.8,Excellent
0x0224b2311d5968fa00a42103788b2f4ccd0651ad,943,146,9.86171802619116e+21,93.5,Excellent
0x00aac20f271c4731591cca07913e994d6f1075c0,942,633,5.023087584713533e+22,103.0,Excellent
0x05fc68f4b7714389a17128653f82d50bee98e542,941,128,7.264500681071912e+22,105.5,Excellent
0x007c4bb067d9b6afeb4c13415477d396123c4aa3,938,262,3.180573306649788e+23,122.4,Excellent
0x0144c47df1cc4d52ff115f758918dc42a9db48aa,936,293,1.3996633627593728e+22,124.5,Excellent
0x01812580ff18cdaa3e9b3cdaa81496cd98d3f56f,936,237,4.827492456926045e+22,91.7,Excellent
0x0214c5c41f5249166aab9a12213ac0e2119d2cc8,933,42,3.028066373227927e+22,134.3,Excellent
0x056a560537b780be6a4c35079cedb77822c58d82,932,103,1.3915175657655348e+22,97.3,Excellent
0x042a1ccde458f357618d8687b4fb99fa10775599,931,206,2.9819176555552038e+23,114.1,Excellent
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,927,67,2.9762926012430152e+23,73.1,Excellent
0x000000e28faa823d5b53ff6c2922c28335840375,927,297,1.0141980241541862e+25,137.2,Excellent
0x017b4cca058ecf79937066adf44ddfa249a620fd,926,250,2.033732831935175e+23,88.9,Excellent
0x01b8f7ef9c12841ca94ee6652f0d5e9646a1168f,922,180,3.5005508653667276e+22,98.1,Excellent
0x01222a114552e89e4c548170f8c1f4d5460d255a,921,284,5.292012350120979e+23,131.5,Excellent
0x04cda19cb300c98a5ff01a9bafc907e8751268d8,919,99,1.1311867506103264e+24,105.6,Excellent
0x038ca2dcaf884d02dd1deae89bf23a7831fb1179,918,47,2.7402238952147073e+22,106.2,Excellent
0x0255c9d3850caca1152aeb20425c264787661692,918,167,7.012661308776684e+21,93.7,Excellent
0x005c7aa4001747cd4bf25c777318a13191a182ac,917,245,9.654871023873283e+21,94.8,Excellent
0x027cedb5d69afdd68ce27cf58dd6d05a72edc4f6,915,147,2.984912436908166e+23,144.3,Excellent
0x0281531ebed0d369e29f29bb4295be46113e422b,914,105,2.2284344493699164e+24,86.2,Excellent
0x01ebce016681d076667bdb823ebe1f76830da6fa,914,279,2.7235601429175216e+23,127.2,Excellent
0x00b43a92d45ccdfeef6ea98d56f775586fe9e39e,913,189,3.655141910306126e+22,126.4,Excellent
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,912,523,1.0123237641123642e+25,103.8,Excellent
0x01e91f9f5612d156f617474a8c231fa3eda78f56,912,23,1.607331295628189e+22,111.4,Excellent
0x0230d420819b2654845fb9c570ac53c969b6c386,911,57,1.205463725084514e+23,90.5,Excellent
0x0421fa1f9f228934332cc11de6f66497f43fb734,911,72,5.267286647211292e+20,107.1,Excellent
0x05275affa4b235deacf99e490f3834273c15ea8b,909,281,3.135246694845483e+24,40.1,Excellent
0x02f11fe7a88805f3afbe76f28d0ee7b090d4e99b,908,130,9.723484274843285e+23,66.8,Excellent
0x059949cb13386014e50039c5750b5f160b0d2778,908,369,2.8329258041697937e+23,61.5,Excellent
0x0405e13dc7a586cc2c371f531e90ae50cf49beec,908,88,5.8930221337506474e+23,47.0,Excellent
0x0122a648094d10ea18ae72673aea0334fae4d3a5,907,227,1.2226080411654676e+24,71.3,Excellent
0x02eca8cc78b7d30c1ac5e16988ed2c8a9da658d6,907,167,6.024530045279837e+25,138.1,Excellent
0x0430605323465e26dc21fbaaa9a1a4be6ae9d496,906,323,1.685872582420379e+22,89.1,Excellent
